datetime,open,high,low,close,volume,hold
2026-01-09 23:00:00,14530.0,14565.0,14485.0,14490.0,253,811811
2026-01-12 09:30:00,14490.0,14610.0,14490.0,14555.0,438429,816802
2026-01-12 10:00:00,14550.0,14580.0,14530.0,14545.0,167,816937
2026-01-12 10:45:00,14545.0,14580.0,14530.0,14565.0,23687,817346
2026-01-12 11:15:00,14565.0,14625.0,14565.0,14610.0,33490,822000
2026-01-12 13:45:00,14610.0,14655.0,14605.0,14640.0,11719,822123
2026-01-12 14:15:00,14635.0,14660.0,14620.0,14645.0,385,821772
2026-01-12 14:45:00,14655.0,14660.0,14620.0,14630.0,571,820811
2026-01-12 15:00:00,14630.0,14635.0,14615.0,14625.0,1210,817946
2026-01-12 21:30:00,14625.0,14745.0,14620.0,14730.0,93290,833666
2026-01-12 22:00:00,14730.0,14795.0,14705.0,14745.0,62994,841004
2026-01-12 22:30:00,14745.0,14755.0,14675.0,14720.0,52721,833596
2026-01-12 23:00:00,14715.0,14745.0,14680.0,14685.0,27160,829510
2026-01-13 09:30:00,14700.0,14775.0,14695.0,14755.0,34032,829609
2026-01-13 10:00:00,14755.0,14820.0,14735.0,14815.0,73,834934
2026-01-13 10:45:00,14825.0,14885.0,14810.0,14885.0,151,848489
2026-01-13 11:15:00,14875.0,14880.0,14815.0,14840.0,522,843465
2026-01-13 13:45:00,14830.0,14855.0,14810.0,14810.0,1327,842593
2026-01-13 14:15:00,14810.0,14845.0,14730.0,14785.0,2976,838831
2026-01-13 14:45:00,14780.0,14830.0,14765.0,14775.0,217,839805
2026-01-13 15:00:00,14770.0,14775.0,14760.0,14760.0,2,837159
2026-01-13 21:30:00,14770.0,14800.0,14700.0,14730.0,84578,840426
2026-01-13 22:00:00,14730.0,14765.0,14725.0,14740.0,18379,839220
2026-01-13 22:30:00,14745.0,14760.0,14715.0,14750.0,17737,839523
2026-01-13 23:00:00,14750.0,14765.0,14735.0,14745.0,14739,837269
2026-01-14 09:30:00,14750.0,14775.0,14705.0,14740.0,30935,834600
2026-01-14 10:00:00,14745.0,14750.0,14720.0,14745.0,12946,837144
2026-01-14 10:45:00,14740.0,14785.0,14740.0,14785.0,20454,838390
2026-01-14 11:15:00,14780.0,14830.0,14780.0,14805.0,29282,840570
2026-01-14 13:45:00,14805.0,14815.0,14735.0,14775.0,1967,841878
2026-01-14 14:15:00,14755.0,14800.0,14740.0,14785.0,40,842434
2026-01-14 14:45:00,14790.0,14830.0,14765.0,14820.0,3217,842666
2026-01-14 15:00:00,14825.0,14845.0,14810.0,14810.0,52,842372
2026-01-14 21:30:00,14820.0,14840.0,14750.0,14760.0,60659,845435
2026-01-14 22:00:00,14760.0,14780.0,14755.0,14770.0,13222,844796
2026-01-14 22:30:00,14770.0,14805.0,14765.0,14780.0,13531,844105
2026-01-14 23:00:00,14780.0,14790.0,14755.0,14785.0,12353,843603
2026-01-15 09:30:00,14780.0,14820.0,14730.0,14735.0,41581,847047
