Datetime,Open,High,Low,Close,Volume
2026-1-19 23:00,795,795,793.5,794.5,902
2026-1-20 9:30,787,794.5,778.5,784,149793
2026-1-20 10:00,784,788,783,785.5,29041
2026-1-20 10:45,785.5,787.5,784.5,785.5,23235
2026-1-20 11:15,785.5,786,784,785,10973
2026-1-20 13:45,785,788.5,784.5,787.5,19379
2026-1-20 14:15,787.5,790.5,787.5,789.5,22672
2026-1-20 14:45,789.5,790,786.5,786.5,5792
2026-1-20 15:00,786.5,789.5,786.5,789.5,4253
2026-1-20 21:30,789.5,790,785.5,786.5,43117
2026-1-20 22:00,786.5,788.5,786,788,10473
2026-1-20 22:30,788,790.5,788,789,20045
2026-1-20 23:00,789,791.5,788,788.5,6865
2026-1-21 9:30,786.5,788.5,784,786,29250
2026-1-21 10:00,786,786.5,784,785,12619
2026-1-21 10:45,785,785.5,782.5,784,4667
2026-1-21 11:15,784,785,782.5,783.5,989
2026-1-21 13:45,783.5,786,783,785.5,480
2026-1-21 14:15,786,787,784.5,787,3380
2026-1-21 14:45,787.5,788,784,784,1676
2026-1-21 15:00,784,784.5,783,784,32
2026-1-21 21:30,785,786,783.5,783.5,30588
2026-1-21 22:00,784,787,782.5,786,19694
2026-1-21 22:30,786.5,787,784.5,785.5,8694
2026-1-21 23:00,785.5,786,785,785.5,3999
2026-1-22 9:30,783.5,789,783,786,23885
2026-1-22 10:00,786,787,784,784.5,11730
2026-1-22 10:45,784.5,787,784,785.5,2
2026-1-22 11:15,785.5,786,784,784.5,1269
2026-1-22 13:45,784.5,788,783,788,2709
2026-1-22 14:15,787.5,790.5,786,786,218
2026-1-22 14:45,786.5,788.5,786,788.5,1451
2026-1-22 15:00,788.5,788.5,786.5,786.5,1512
2026-1-22 21:30,787,790,786,786,31936
2026-1-22 22:00,786,787.5,786,786.5,9422
2026-1-22 22:30,786.5,788.5,786,788.5,6729
2026-1-22 23:00,788.5,789,787,787.5,6201
2026-1-23 9:30,789.5,796,787.5,791,48646
2026-1-23 10:00,791,794,790.5,794,15265
2026-1-23 10:45,794,795,792.5,794,15218
2026-1-23 11:15,795,795,792.5,794,4199
2026-1-23 13:45,794,794.5,792.5,794,1420
2026-1-23 14:15,794,798,793.5,797.5,58
2026-1-23 14:45,797.5,797.5,793.5,794.5,826
2026-1-23 15:00,794.5,795,793,795,764
2026-1-23 21:30,794.5,801.5,793,795,10
2026-1-23 22:00,795,795.5,790.5,793.5,1
2026-1-23 22:30,793.5,795,792.5,793.5,1
2026-1-23 23:00,793.5,793.5,791.5,791.5,694
2026-1-26 9:30,794,796.5,793,795.5,27761
2026-1-26 10:00,795.5,795.5,790,790,19895
2026-1-26 10:45,789,792,788.5,791,33102
2026-1-26 11:15,791,791.5,787.5,790,552
2026-1-26 13:45,791,791.5,787.5,787.5,2
2026-1-26 14:15,787.5,789,787.5,788,1105
2026-1-26 14:45,788.5,789.5,787.5,788.5,705
2026-1-26 15:00,788.5,788.5,784.5,784.5,1469
2026-1-26 21:30,786,788.5,784.5,787.5,41748
2026-1-26 22:00,787.5,788,786,786,10301
2026-1-26 22:30,786.5,788,785.5,787.5,4686
2026-1-26 23:00,787.5,791,787,789,4312
2026-1-27 9:30,790,793.5,789,793,35417
2026-1-27 10:00,793,793.5,785.5,786,34967
2026-1-27 10:45,787,790,785.5,789.5,16049
2026-1-27 11:15,789.5,790,786,786.5,8874
2026-1-27 13:45,786.5,788,785.5,786,16253
2026-1-27 14:15,786.5,788.5,786,788,9029
2026-1-27 14:45,788,789.5,787,788,8175
2026-1-27 15:00,788,789,788,788,1303
2026-1-27 21:30,788,788.5,785.5,787,21740
2026-1-27 22:00,787,787.5,786,786.5,4728
2026-1-27 22:30,787,788,784.5,784.5,14323
2026-1-27 23:00,784.5,786.5,782,783,8095
2026-1-28 9:30,785.5,789.5,780.5,783,51652
2026-1-28 10:00,783,785.5,783,784,15465
2026-1-28 10:45,784.5,784.5,782,783,11399
2026-1-28 11:15,783,786,781,784.5,18040
2026-1-28 13:45,785,787.5,783.5,785.5,17810
2026-1-28 14:15,785.5,786,784.5,785,8628
2026-1-28 14:45,785,785,782.5,783.5,1807
2026-1-28 15:00,783.5,784,783,783,1447
2026-1-28 21:30,784.5,784.5,781,784,35967
2026-1-28 22:00,783.5,785,783,785,13286
2026-1-28 22:30,785,787.5,784.5,786,15083
2026-1-28 23:00,786,787,785.5,786,1774
2026-1-29 9:30,785.5,792,785,791.5,56750
2026-1-29 10:00,791.5,793,790.5,792,20095
2026-1-29 10:45,792,793,788,789,15590
2026-1-29 11:15,788.5,795.5,788,794.5,23399
2026-1-29 13:45,794.5,797.5,792.5,795,46387
2026-1-29 14:15,795,798,794,795,26731
2026-1-29 14:45,796,797,794,797,9672
2026-1-29 15:00,796.5,800,796.5,798.5,719
2026-1-29 21:30,798,800.5,795,795,60156
2026-1-29 22:00,795.5,796.5,794.5,795,13955
2026-1-29 22:30,795,797.5,794.5,797,13404
2026-1-29 23:00,797,797.5,793.5,793.5,11627
2026-1-30 9:30,792,794,786.5,788.5,54685
2026-1-30 10:00,788.5,790,787.5,789.5,14682
2026-1-30 10:45,789.5,793,787,791,28560
2026-1-30 11:15,791,794,789.5,790.5,22963
